bolgeler;il;ilce;biyometanizasyona_uygun_belediye_atiklarim_miktari_ton_yil;yakmaya_uygun_belediye_atiklari_miktari_ton_yil;biyometanizasyona_uygun_belediye_atiklari_enerji_esdegeri_tep_yil;yakmaya_uygun_belediye_tiklari_enerji_esdegeri_tep_yil;biyometanizasyona_ve_yakmaya_uygun_toplam_enerjiesdegeri_tep_yil
Ege Bölgesi;Aydýn;Nazilli;29865,2;36501,9;963,2;6206,4;7169,6
Ege Bölgesi;Aydýn;Kuþadasý;21640,4;26449,4;697,9;4497,2;5195,1
Ege Bölgesi;Aydýn;Kuyucak;5139,5;6281,7;165,8;1068,1;1233,9
Ege Bölgesi;Aydýn;Karpuzlu;2117,4;2587,9;68,3;440;508,3
Ege Bölgesi;Aydýn;Köþk;5242,8;6407,9;169,1;1089,5;1258,6
Ege Bölgesi;Aydýn;Buharkent;2417,4;2954,7;78;502,4;580,4
Ege Bölgesi;Aydýn;Söke;22904,9;27994,9;738,7;4760;5498,7
Ege Bölgesi;Aydýn;Sultanhisar;3912,2;4781,5;126,2;813;939,2
Ege Bölgesi;Aydýn;Yenipazar;2402,2;2936;77,5;499,2;576,7
Ege Bölgesi;Aydýn;Ýncirliova;9817,2;11998,9;316,6;2040,2;2356,8
Ege Bölgesi;Aydýn;Didim;16205,5;19806,8;522,6;3367,8;3890,4
Ege Bölgesi;Aydýn;Efeler;55110,4;67357,2;1777,3;11452,8;13230,1
Marmara Bölgesi;Balýkesir;Bigadiç;9505;11617,2;306,5;1975,3;2281,8
Marmara Bölgesi;Balýkesir;Ayvalýk;13539,6;16548,4;436,7;2813,7;3250,4
Marmara Bölgesi;Balýkesir;Balya;2503,8;3060,1;80,7;520,3;601
Marmara Bölgesi;Balýkesir;Bandýrma;29410;35945,6;948,5;6111,8;7060,3
Marmara Bölgesi;Balýkesir;Burhaniye;11584;14158,3;373,6;2407,3;2780,9
Marmara Bölgesi;Balýkesir;Dursunbey;6835,3;8354,2;220,4;1420,5;1640,9
Marmara Bölgesi;Balýkesir;Erdek;6280,4;7676,1;202,5;1305,2;1507,7
Marmara Bölgesi;Balýkesir;Edremit;29434,4;35975,4;949,3;6116,9;7066,2
Marmara Bölgesi;Balýkesir;Gönen;14066,6;17192,6;453,6;2923,3;3376,9
Marmara Bölgesi;Balýkesir;Havran;5285,5;6460;170,5;1098,4;1268,9
Marmara Bölgesi;Balýkesir;Ývrindi;6241,4;7628,4;201,3;1297,1;1498,4
Marmara Bölgesi;Balýkesir;Kepsut;4405,6;5384,7;142,1;915,6;1057,7
Marmara Bölgesi;Balýkesir;Manyas;3684,7;4503,5;118,8;765,7;884,5
Marmara Bölgesi;Balýkesir;Susurluk;7441,7;9095,4;240;1546,5;1786,5
Marmara Bölgesi;Balýkesir;Sýndýrgý;6463,5;7899,9;208,4;1343,2;1551,6
Marmara Bölgesi;Balýkesir;Gömeç;2647,2;3235,5;85,4;550,1;635,5
Marmara Bölgesi;Balýkesir;Savaþtepe;3475,8;4248,2;112,1;722,3;834,4
Marmara Bölgesi;Balýkesir;Marmara;1880,5;2298,4;60,6;390,8;451,4
Marmara Bölgesi;Balýkesir;Altýeylül;34525,8;42198,1;1113,5;7175;8288,5
Marmara Bölgesi;Balýkesir;Karesi;34488,4;42152,5;1112,3;7167,2;8279,5
Marmara Bölgesi;Bilecik;Merkez;15570,7;19030,8;502,2;2664,8;3167
Marmara Bölgesi;Bilecik;Bozüyük;14183,2;17335,1;457,4;2427,3;2884,7
Marmara Bölgesi;Bilecik;Gölpazarý;2017,9;2466,3;65,1;345,3;410,4
Marmara Bölgesi;Bilecik;Pazaryeri;2005,7;2451,4;64,7;343,3;408
Marmara Bölgesi;Bilecik;Osmaneli;3996,6;4884,7;128,9;684;812,9
Marmara Bölgesi;Bilecik;Söðüt;3666,6;4481,4;118,2;627,5;745,7
Marmara Bölgesi;Bilecik;Yenipazar;564,9;690,5;46071;96,7;46167,7
Marmara Bölgesi;Bilecik;Ýnhisar;568;694,2;46099;97,2;46196,2
Doðu Anadolu Bölgesi;Bingöl;Merkez;21045,7;25722,5;678,7;3601,8;4280,5
Doðu Anadolu Bölgesi;Bingöl;Karlýova;3896;4761,8;125,6;666,8;792,4
Doðu Anadolu Bölgesi;Bingöl;Kiðý;658,7;805,1;46074;112,7;46186,7
Doðu Anadolu Bölgesi;Bingöl;Yayladere;281,1;343,5;46031;48,1;46079,1
Doðu Anadolu Bölgesi;Bingöl;Genç;5049,4;6171,5;162,8;864,2;1027
Doðu Anadolu Bölgesi;Bingöl;Adaklý;1224;1496;39,5;209,5;249
Doðu Anadolu Bölgesi;Bingöl;Solhan;4417,4;5399,1;142,5;756;898,5
Doðu Anadolu Bölgesi;Bingöl;Yedisu;378;462;46065;64,7;46129,7
Doðu Anadolu Bölgesi;Bitlis;Ahlat;5361,9;6553,4;172,9;917,6;1090,5
Doðu Anadolu Bölgesi;Bitlis;Adilcevaz;3991,4;4878,4;128,7;683,1;811,8
Doðu Anadolu Bölgesi;Bitlis;Merkez;9395,2;11483,1;303;1607,9;1910,9
Doðu Anadolu Bölgesi;Bitlis;Hizan;4492;5490,3;144,9;768,8;913,7
Doðu Anadolu Bölgesi;Bitlis;Mutki;4216,6;5153,7;136;721,6;857,6
Doðu Anadolu Bölgesi;Bitlis;Tatvan;12180,1;14886,8;392,8;2084,5;2477,3
Doðu Anadolu Bölgesi;Bitlis;Güroymak;6273,3;7667,4;202,3;1073,6;1275,9
Karadeniz Bölgesi;Bolu;Merkez;30381,7;37133,2;979,8;5199,6;6179,4
Karadeniz Bölgesi;Bolu;Gerede;5067;6193;163,4;867,2;1030,6
Karadeniz Bölgesi;Bolu;Göynük;2279,9;2786,6;73,5;390,2;463,7
Karadeniz Bölgesi;Bolu;Mudurnu;2857;3491,9;92,1;489;581,1
Karadeniz Bölgesi;Bolu;Dörtdivan;1055,3;1289,8;34;180,6;214,6
Karadeniz Bölgesi;Bolu;Mengen;2122;2593,6;68,4;363,2;431,6
Karadeniz Bölgesi;Bolu;Kýbrýscýk;476;581,8;46127;81,5;46208,5
Karadeniz Bölgesi;Bolu;Seben;776,1;948,5;25;132,8;157,8
Karadeniz Bölgesi;Bolu;Yeniçaða;1078,2;1317,8;34,8;184,5;219,3
Akdeniz Bölgesi;Burdur;Aðlasun;1262;1542,4;40,7;216;256,7
Akdeniz Bölgesi;Burdur;Merkez;16715,6;20430,2;539,1;2860,7;3399,8
Akdeniz Bölgesi;Burdur;Bucak;9600,2;11733,6;309,6;1643;1952,6
Akdeniz Bölgesi;Burdur;Gölhisar;3328,9;4068,6;107,4;569,7;677,1
Akdeniz Bölgesi;Burdur;Altýnyayla;826,5;1010,2;46229;141,4;46370,4
Akdeniz Bölgesi;Burdur;Yeþilova;2284,9;2792,7;73,7;391;464,7
Akdeniz Bölgesi;Burdur;Çavdýr;1933,1;2362,7;62,3;330,8;393,1
Akdeniz Bölgesi;Burdur;Tefenni;1508;1843,1;48,6;258,1;306,7
Akdeniz Bölgesi;Burdur;Çeltikçi;774,2;946,2;25;132,5;157,5
Akdeniz Bölgesi;Burdur;Karamanlý;1183,5;1446,5;38,2;202,5;240,7
Akdeniz Bölgesi;Burdur;Kemer;485;592,8;46188;83;46271
Marmara Bölgesi;Bursa;Gemlik;22706,8;27752,7;732,3;4718,8;5451,1
Marmara Bölgesi;Bursa;Ýnegöl;54615,1;66751,8;1761,3;11349,9;13111,2
Marmara Bölgesi;Bursa;Ýznik;8825;10786,1;284,6;1834;2118,6
Marmara Bölgesi;Bursa;Keles;2516,3;3075,5;81,2;522,9;604,1
Marmara Bölgesi;Bursa;Karacabey;16928;20689,8;545,9;3517,9;4063,8
Marmara Bölgesi;Bursa;Orhaneli;3969,9;4852,1;128;825;953
Marmara Bölgesi;Bursa;Orhangazi;15977,3;19527,8;515,3;3320,3;3835,6
Marmara Bölgesi;Bursa;Mudanya;19085,3;23326,5;615,5;3966,2;4581,7
Marmara Bölgesi;Bursa;M.Kemalpaþa;20508,8;25066,3;661,4;4262;4923,4
Marmara Bölgesi;Bursa;Kestel;13290,7;16244,2;428,6;2762;3190,6
Marmara Bölgesi;Bursa;Büyükorhan;2045,3;2499,8;66;425;491
Marmara Bölgesi;Bursa;Yýldýrým;132997,3;162552,3;4289,2;27638,9;31928,1
Marmara Bölgesi;Bursa;Yeniþehir;10937,9;13368,5;352,7;2273,1;2625,8
Marmara Bölgesi;Bursa;Harmancýk;1339,3;1637;43,2;278,3;321,5
Marmara Bölgesi;Bursa;Nilüfer;89879,4;109852,6;2898,6;18678,3;21576,9
Marmara Bölgesi;Bursa;Osmangazi;175668,6;214706,1;5665,3;36506,6;42171,9
Marmara Bölgesi;Bursa;Gürsu;18603;22737;599,9;3866;4465,9
Marmara Bölgesi;Çanakkale;Biga;17257,4;21092,4;556,6;2953,5;3510,1
Marmara Bölgesi;Çanakkale;Ayvacýk;6395,7;7817;206,3;1094,6;1300,9
Marmara Bölgesi;Çanakkale;Bayramiç;5661,8;6920;182,6;969;1151,6
Marmara Bölgesi;Çanakkale;Çan;9186,4;11227,8;296,3;1572,2;1868,5
Marmara Bölgesi;Çanakkale;Merkez;34452,2;42108,3;1111,1;5896,2;7007,3
Marmara Bölgesi;Çanakkale;Bozcaada;576;704;46191;98,6;46289,6
Marmara Bölgesi;Çanakkale;Ezine;6097,5;7452,5;196,6;1043,5;1240,1
Marmara Bölgesi;Çanakkale;Eceabat;1698;2075,3;54,8;290,6;345,4
Marmara Bölgesi;Çanakkale;Gelibolu;8537,5;10434,7;275,3;1461,1;1736,4
Marmara Bölgesi;Çanakkale;Gökçeada;1864;2278,2;60,1;319;379,1
Marmara Bölgesi;Çanakkale;Lapseki;5206,6;6363,6;167,9;891,1;1059
Marmara Bölgesi;Çanakkale;Yenice;6079,2;7430,2;196,1;1040,4;1236,5
Ýç Anadolu Bölgesi;Çankýrý;Çerkeþ;2763,4;3377,5;89,1;472,9;562
Ýç Anadolu Bölgesi;Çankýrý;Eldivan;1121,7;1371;36,2;192;228,2
Ýç Anadolu Bölgesi;Çankýrý;Ilgaz;2201,3;2690,4;71;376,7;447,7
Ýç Anadolu Bölgesi;Çankýrý;Orta;3021,4;3692,8;97,4;517,1;614,5
